ActivityStartDate,HydrologicEvent,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,DetectionQuantitationLimitMeasure/MeasureValue,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,ResultMeasure/MeasureUnitCode,DetectionQuantitationLimitMeasure/MeasureUnitCode,LastUpdated,ProviderName,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext
4/6/2021,Routine sample,,Escherichia coli,,81,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100388,Sample-Routine,Water,Surface Water,8:45:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120863344,,Accepted,Actual,50468,BAC15,USGS
4/6/2021,Routine sample,,Total Coliform,Total,2000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100388,Sample-Routine,Water,Surface Water,8:45:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01649190,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120863345,,Accepted,Actual,50569,BAC48,USGS
3/28/2021,Storm,,Escherichia coli,,86,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100360,Sample-Routine,Water,Surface Water,8:20:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-120811125,,Accepted,Actual,50468,BAC15,USGS
3/28/2021,Storm,,Total Coliform,Total,2900,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100360,Sample-Routine,Water,Surface Water,8:20:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Rising stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-120811126,,Accepted,Actual,50569,BAC48,USGS
10/25/2021,Storm,,Escherichia coli,,82000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200067,Sample-Routine,Water,Surface Water,21:55:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Peak stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-122669339,,Accepted,Actual,50468,BAC15,USGS
10/25/2021,Storm,,Total Coliform,Total,100000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200067,Sample-Routine,Water,Surface Water,21:55:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Peak stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-122669340,,Accepted,Actual,50569,BAC48,USGS
3/18/2021,Storm,,Escherichia coli,,2600,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100349,Quality Control Sample-Field Replicate,Water,Surface Water,12:10:00,EST,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-120773041,,Accepted,Actual,50468,BAC15,USGS
3/18/2021,Storm,,Total Coliform,Total,21000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100349,Quality Control Sample-Field Replicate,Water,Surface Water,12:10:00,EST,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-81,NWIS-120773042,,Accepted,Actual,50569,BAC48,USGS
3/10/2021,Routine sample,,Escherichia coli,,1700,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100326,Sample-Routine,Water,Surface Water,10:15:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120691892,,Accepted,Actual,50468,BAC15,USGS
3/10/2021,Routine sample,,Total Coliform,Total,3100,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100326,Sample-Routine,Water,Surface Water,10:15:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,"Stable, normal stage",,,15,USGS parameter code 82398,"10 or more equal width verticals, equal non-iso transit rate limited by velocity",,US DH-81,NWIS-120691893,,Accepted,Actual,50569,BAC48,USGS
10/26/2021,Storm,,Escherichia coli,,14000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200043,Sample-Routine,Water,Surface Water,9:00:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-122641363,,Accepted,Actual,50468,BAC15,USGS
10/26/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02200043,Sample-Routine,Water,Surface Water,9:00:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-122641364,,Accepted,Actual,50569,BAC48,USGS
8/17/2021,Storm,,Escherichia coli,,24000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100782,Sample-Routine,Water,Surface Water,2:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Peak stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737551,,Accepted,Actual,50468,BAC15,USGS
8/17/2021,Storm,,Total Coliform,Total,29000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,holding time exceeded,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100782,Sample-Routine,Water,Surface Water,2:15:00,EDT,,,U.S. Geological Survey,USGS-01649190,,,,Peak stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121737552,,Accepted,Actual,50569,BAC48,USGS
3/31/2021,Storm,,Escherichia coli,,2900,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100370,Sample-Routine,Water,Surface Water,16:15:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-120830753,,Accepted,Actual,50468,BAC15,USGS
3/31/2021,Storm,,Total Coliform,Total,24000,,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey-Water Resources Discipline,,,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100370,Sample-Routine,Water,Surface Water,16:15:00,EST,,,U.S. Geological Survey-Water Resources Discipline,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-120830754,,Accepted,Actual,50569,BAC48,USGS
5/28/2021,Storm,,Escherichia coli,,26000,,"E coli, water,Colilert-18(18-22)",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,,MPN/100 ml,,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100596,Sample-Routine,Water,Surface Water,21:05:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121199313,,Accepted,Actual,50468,BAC15,USGS
5/28/2021,Storm,Present Above Quantification Limit,Total Coliform,Total,,240000,"Total coliform, Colilert-18",Standard Methods,U.S. Geological Survey,,analyte detected in laboratory blankvalue extrapolated at high endsample preparation problem,Upper Reporting Limit,,MPN/100 ml,,NWIS,USGS-MD,USGS Maryland Water Science Center,nwismd.01.02100596,Sample-Routine,Water,Surface Water,21:05:00,EDT,,,U.S. Geological Survey,USGS-01650800,,,,Falling stage,,,50,USGS parameter code 82398,Point sample,,"Sampler, point, automatic",NWIS-121199314,,Accepted,Actual,50569,BAC48,USGS
